Group,Metric,Budget,Actual,% to Goal,Match
Net Per Cap,Total Net Per Cap Revenue,39928,30173,0.755678221,FR0606US
Net Per Cap,Merchandise Per Cap,2.27,1.342463269,0.59139351,FR0606US
Net Per Cap,Concessions Per Cap,0,0,0,FR0606US
Net Per Cap,Parking Per Cap,4.86,4.13054961,0.849907327,FR0606US
Net Per Cap,Net Per Cap,7.13,5.473012879,0.767603489,FR0606US
Total,Total Net Matchday Revenue,101292,107845,1.064702389,FR0606US
Ticket Revenue,FSE,"8,075","8,401",1.040371517,FIR0610
Ticket Revenue,Group,"7,243","3,136",0.432969764,FIR0610
Ticket Revenue,Single,"1,207","2,817",2.333885667,FIR0610
Ticket Revenue,Total Paid,16525,14354,0.868623298,FIR0610
Ticket Revenue,Comp,3000,"2,059",0.686333333,FIR0610
Ticket Revenue,Total Distributed,19525,16413,0.840614597,FIR0610
Ticket Revenue,Drop Count,"14,873","11,905",0.800470667,FIR0610
Ticket Revenue,Show Rate,0.76,0.73,0.952244549,FIR0610
Ticket Revenue,ATP,28.98,29.73,1.025965345,FIR0610
Ticket Revenue,Gross Ticket Revenue,"478,817",426710.89,0.891177402,FIR0610
Ticket Revenue,Amusement Taxes,-51302,-45719,0.891177402,FIR0610
Ticket Revenue,Park District Fee,-29745,-23810,0.800470667,FIR0610
Ticket Revenue,MLS Share of Revenue,-39777,-35718,0.897960393,FIR0610
Ticket Revenue,Net Ticket Revenue,357993,321464,0.897960393,FIR0610
Premium,Units Sold,282,409,1.45035461,FIR0610
Premium,Average Per Unit,276,208,0.754015559,FIR0610
Premium,Revenue Generated,"77,706",84978.5,1.093589942,FIR0610
Premium,Less Projected Expenses,-45847,-50137.315,1.093589942,FIR0610
Premium,Net Premium Revenue,31859,34841,1.093589942,FIR0610
Gross Per Cap,Merchandise Revenue,70647,62029,0.878017885,FIR0610
Gross Per Cap,Concessions Revenue,375555,276541,0.736352838,FIR0610
Gross Per Cap,Parking Revenue,164495,151293,0.919740117,FIR0610
Gross Per Cap,Total Gross Per Cap Revenue,610697,489863,0.80213755,FIR0610
Gross Per Cap,Merchandise Per Cap,4.750159691,5.210341033,1.096877026,FIR0610
Gross Per Cap,Concessions Per Cap,25.25163982,23.22897942,0.91989984,FIR0610
Gross Per Cap,Parking Per Cap,11.06037183,12.70835783,1.14899915,FIR0610
Gross Per Cap,Gross Per Cap,41.06217134,41.14767829,1.002082378,FIR0610
Net Per Cap,Merchandise Revenue,23112,12712,0.550007286,FIR0610
Net Per Cap,Concessions Revenue,69536,59390,0.85409724,FIR0610
Net Per Cap,Parking Revenue,73618,66498,0.90328007,FIR0610
Net Per Cap,Total Net Per Cap Revenue,166265,138600,0.833603666,FIR0610
Net Per Cap,Merchandise Per Cap,1.554005607,1.067764805,0.68710486,FIR0610
Net Per Cap,Concessions Per Cap,4.675448143,4.988674183,1.066993801,FIR0610
Net Per Cap,Parking Per Cap,4.949935795,5.585686686,1.128436189,FIR0610
Net Per Cap,Net Per Cap,11.17938954,11.64212567,1.041391896,FIR0610
Total,Total Net Matchday Revenue,556118,494904,0.889926758,FIR0610
Ticket Revenue,FSE,"7,700","8,162",1.06,FIR0708
Ticket Revenue,Group,"7,243","3,992",0.551152837,FIR0708
Ticket Revenue,Single,"1,393","6,174",4.432160804,FIR0708
Ticket Revenue,Total Paid,16336,18328,1.121939275,FIR0708
Ticket Revenue,Comp,3000,"1,819",0.606333333,FIR0708
Ticket Revenue,Total Distributed,19336,20147,1.041942491,FIR0708
Ticket Revenue,Drop Count,"14,702","14,521",0.987661878,FIR0708
Ticket Revenue,Show Rate,0.76,0.72,0.947904407,FIR0708
Ticket Revenue,ATP,29.35,29.19,0.994318025,FIR0708
Ticket Revenue,Gross Ticket Revenue,"479,498",534910.92,1.115564444,FIR0708
Ticket Revenue,Amusement Taxes,-51375,-57312,1.115564444,FIR0708
Ticket Revenue,Park District Fee,-29405,-29042,0.987661878,FIR0708
Ticket Revenue,MLS Share of Revenue,-39872,-44856,1.12499704,FIR0708
Ticket Revenue,Net Ticket Revenue,358847,403701,1.12499704,FIR0708
Premium,Units Sold,282,313,1.109929078,FIR0708
Premium,Average Per Unit,276,240,0.870523031,FIR0708
Premium,Revenue Generated,"77,706",75081,0.966218825,FIR0708
Premium,Less Projected Expenses,-45847,-44297.79,0.966218825,FIR0708
Premium,Net Premium Revenue,31859,30783,0.966218825,FIR0708
Gross Per Cap,Merchandise Revenue,69835,78572,1.125118101,FIR0708
Gross Per Cap,Concessions Revenue,371237,300539,0.809560729,FIR0708
Gross Per Cap,Parking Revenue,162604,152235,0.93623089,FIR0708
Gross Per Cap,Total Gross Per Cap Revenue,603676,531346,0.880184539,FIR0708
Gross Per Cap,Merchandise Per Cap,4.749870769,5.410926245,1.13917336,FIR0708
Gross Per Cap,Concessions Per Cap,25.25010393,20.69685283,0.819673966,FIR0708
Gross Per Cap,Parking Per Cap,11.0596991,10.48378211,0.947926523,FIR0708
Gross Per Cap,Gross Per Cap,41.05967379,36.59156119,0.891180027,FIR0708
Net Per Cap,Merchandise Revenue,13314,19927,1.496731629,FIR0708
Net Per Cap,Concessions Revenue,68759,65436,0.951679357,FIR0708
Net Per Cap,Parking Revenue,72715,66650,0.916587844,FIR0708
Net Per Cap,Total Net Per Cap Revenue,154788,152014,0.982076383,FIR0708
Net Per Cap,Merchandise Per Cap,0.905561671,1.372314579,1.515429179,FIR0708
Net Per Cap,Concessions Per Cap,4.676708225,4.506326279,0.963567976,FIR0708
Net Per Cap,Parking Per Cap,4.945812675,4.589902555,0.928038091,FIR0708
Net Per Cap,Net Per Cap,10.52808257,10.46854341,0.994344729,FIR0708
Total,Total Net Matchday Revenue,545494,586498,1.075168817,FIR0708
Ticket Revenue,FSE,"4,710","4,594",0.97537155,FIR0712
Ticket Revenue,Group,"1,155","2,837",2.456277056,FIR0712
Ticket Revenue,Single,"1,150","2,014",1.751304348,FIR0712
Ticket Revenue,Total Paid,7015,9445,1.34640057,FIR0712
Ticket Revenue,Comp,3000,"1,405",0.468333333,FIR0712
Ticket Revenue,Total Distributed,10015,10850,1.083374938,FIR0712
Ticket Revenue,Drop Count,"6,314","7,349",1.164013622,FIR0712
Ticket Revenue,Show Rate,0.63,0.68,1.07443285,FIR0712
Ticket Revenue,ATP,33.35,31.20,0.935435378,FIR0712
Ticket Revenue,Gross Ticket Revenue,"233,981",294692.22,1.259470726,FIR0712
Ticket Revenue,Amusement Taxes,-25069,-31574,1.259470726,FIR0712
Ticket Revenue,Park District Fee,-12627,-14698,1.164013622,FIR0712
Ticket Revenue,MLS Share of Revenue,-19628,-24842,1.265611487,FIR0712
Ticket Revenue,Net Ticket Revenue,176656,223578,1.265611487,FIR0712
Premium,Units Sold,282,494,1.75177305,FIR0712
Premium,Average Per Unit,276,207,0.752913113,FIR0712
Premium,Revenue Generated,"77,706",102489,1.318932901,FIR0712
Premium,Less Projected Expenses,-45847,-60468.51,1.318932901,FIR0712
Premium,Net Premium Revenue,31859,42020,1.318932901,FIR0712
Gross Per Cap,Merchandise Revenue,34908,43775,1.25402382,FIR0712
Gross Per Cap,Concessions Revenue,210771,235536,1.117497189,FIR0712
Gross Per Cap,Parking Revenue,84807,73759,0.869723017,FIR0712
Gross Per Cap,Total Gross Per Cap Revenue,330486,353070,1.068335499,FIR0712
Gross Per Cap,Merchandise Per Cap,5.529064703,5.956613145,1.077327444,FIR0712
Gross Per Cap,Concessions Per Cap,33.38417676,32.05007484,0.960037897,FIR0712
Gross Per Cap,Parking Per Cap,13.43271719,10.03660362,0.747175979,FIR0712
Gross Per Cap,Gross Per Cap,52.34595866,48.0432916,0.917803262,FIR0712
Net Per Cap,Merchandise Revenue,8341,12163,1.458194694,FIR0712
Net Per Cap,Concessions Revenue,40472,48264,1.192524374,FIR0712
Net Per Cap,Parking Revenue,37134,29902,0.805232599,FIR0712
Net Per Cap,Total Net Per Cap Revenue,85947,90329,1.050975353,FIR0712
Net Per Cap,Merchandise Per Cap,1.321150069,1.655044224,1.252729923,FIR0712
Net Per Cap,Concessions Per Cap,6.410410823,6.567424139,1.024493487,FIR0712
Net Per Cap,Parking Per Cap,5.881700337,4.068798476,0.691772488,FIR0712
Net Per Cap,Net Per Cap,13.61326123,12.29126684,0.902889222,FIR0712
Total,Total Net Matchday Revenue,294463,355927,1.208732986,FIR0712
Ticket Revenue,FSE,"5,700","6,093",1.068947368,FIR0715
Ticket Revenue,Group,"3,155","3,976",1.26022187,FIR0715
Ticket Revenue,Single,"1,294","3,596",2.778979907,FIR0715
Ticket Revenue,Total Paid,10149,13665,1.346438073,FIR0715
Ticket Revenue,Comp,3000,"2,567",0.855666667,FIR0715
Ticket Revenue,Total Distributed,13149,16232,1.234466499,FIR0715
Ticket Revenue,Drop Count,"9,134","13,108",1.43506202,FIR0715
Ticket Revenue,Show Rate,0.69,0.81,1.162495719,FIR0715
Ticket Revenue,ATP,31.33,31.15,0.994183532,FIR0715
Ticket Revenue,Gross Ticket Revenue,"317,997",425672.87,1.338606559,FIR0715
Ticket Revenue,Amusement Taxes,-34071,-45608,1.338606559,FIR0715
Ticket Revenue,Park District Fee,-18268,-26216,1.43506202,FIR0715
Ticket Revenue,MLS Share of Revenue,-26566,-35385,1.331973709,FIR0715
Ticket Revenue,Net Ticket Revenue,239092,318464,1.331973709,FIR0715
Premium,Units Sold,282,394,1.397163121,FIR0715
Premium,Average Per Unit,276,238,0.862482837,FIR0715
Premium,Revenue Generated,"77,706",93638,1.205029213,FIR0715
Premium,Less Projected Expenses,-45847,-55246.42,1.205029213,FIR0715
Premium,Net Premium Revenue,31859,38392,1.205029213,FIR0715
Gross Per Cap,Merchandise Revenue,43387,63953,1.474031093,FIR0715
Gross Per Cap,Concessions Revenue,230641,278473,1.207388682,FIR0715
Gross Per Cap,Parking Revenue,101022,131403,1.300735958,FIR0715
Gross Per Cap,Total Gross Per Cap Revenue,375049,473829,1.263378162,FIR0715
Gross Per Cap,Merchandise Per Cap,4.749947997,4.878932713,1.027154974,FIR0715
Gross Per Cap,Concessions Per Cap,25.25051447,21.24450717,0.841349478,FIR0715
Gross Per Cap,Parking Per Cap,11.05987892,10.02464144,0.906397034,FIR0715
Gross Per Cap,Gross Per Cap,41.06034138,36.14808132,0.880364851,FIR0715
Net Per Cap,Merchandise Revenue,10370,19187,1.850325394,FIR0715
Net Per Cap,Concessions Revenue,42747,60271,1.409943252,FIR0715
Net Per Cap,Parking Revenue,45209,56802,1.256430805,FIR0715
Net Per Cap,Total Net Per Cap Revenue,98326,136260,1.385804335,FIR0715
Net Per Cap,Merchandise Per Cap,1.135280768,1.46379655,1.289369636,FIR0715
Net Per Cap,Concessions Per Cap,4.679948763,4.598032757,0.982496388,FIR0715
Net Per Cap,Parking Per Cap,4.949472408,4.333380378,0.875523697,FIR0715
Net Per Cap,Net Per Cap,10.76470194,10.39520969,0.96567557,FIR0715
Total,Total Net Matchday Revenue,369277,493116,1.335354799,FIR0715
Ticket Revenue,FSE,"5,600","5,995",1.070535714,FR0731LS
Ticket Revenue,Group,"1,950","2,022",1.036923077,FR0731LS
Ticket Revenue,Single,"1,950","3,150",1.615384615,FR0731LS
Ticket Revenue,Total Paid,9500,11167,1.175473684,FR0731LS
Ticket Revenue,Comp,1500,"1,452",0.968,FR0731LS
Ticket Revenue,Total Distributed,11000,12619,1.147181818,FR0731LS
Ticket Revenue,Drop Count,"8,800","8,810",1.001136364,FR0731LS
Ticket Revenue,Show Rate,0.80,0.70,0.872691972,FR0731LS
Ticket Revenue,ATP,30.00,30.03,1.000925286,FR0731LS
Ticket Revenue,Gross Ticket Revenue,"285,000",335319.98,1.176561333,FR0731LS
Ticket Revenue,Amusement Taxes,-30536,-30484,0.998294465,FR0731LS
Ticket Revenue,Park District Fee,0,0,0,FR0731LS
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0731LS
Ticket Revenue,Net Ticket Revenue,254464,304836,1.197953358,FR0731LS
Premium,Units Sold,282,239,0.84751773,FR0731LS
Premium,Average Per Unit,276,160,0.579541684,FR0731LS
Premium,Revenue Generated,"77,706",38167,0.491171853,FR0731LS
Premium,Less Projected Expenses,-45847,-22518.53,0.491171853,FR0731LS
Premium,Net Premium Revenue,31859,15648,0.491171853,FR0731LS
Gross Per Cap,Merchandise Revenue,27189,22356,0.82224429,FR0731LS
Gross Per Cap,Concessions Revenue,0,0,0,FR0731LS
Gross Per Cap,Parking Revenue,60449,75285,1.245430032,FR0731LS
Gross Per Cap,Total Gross Per Cap Revenue,87638,97641,1.114139985,FR0731LS
Gross Per Cap,Merchandise Per Cap,3.089659091,2.537570942,0.821310982,FR0731LS
Gross Per Cap,Concessions Per Cap,0,0,0,FR0731LS
Gross Per Cap,Parking Per Cap,6.869204545,8.545402951,1.244016377,FR0731LS
Gross Per Cap,Gross Per Cap,9.958863636,11.08297389,1.112875354,FR0731LS
Net Per Cap,Merchandise Revenue,19409,7851,0.404503066,FR0731LS
Net Per Cap,Concessions Revenue,0,0,0,FR0731LS
Net Per Cap,Parking Revenue,46256,56929,1.230737634,FR0731LS
Net Per Cap,Total Net Per Cap Revenue,65665,64780,0.986522501,FR0731LS
Net Per Cap,Merchandise Per Cap,2.205568182,0.891146425,0.404043925,FR0731LS
Net Per Cap,Concessions Per Cap,0,0,0,FR0731LS
Net Per Cap,Parking Per Cap,5.256363636,6.461861521,1.229340656,FR0731LS
Net Per Cap,Net Per Cap,7.461931818,7.353007946,0.985402725,FR0731LS
Total,Total Net Matchday Revenue,351989,385265,1.094537312,FR0731LS
Ticket Revenue,FSE,0,0,0,FR0804LS
Ticket Revenue,Group,"3,000","1,395",0.465,FR0804LS
Ticket Revenue,Single,"13,916","15,447",1.110017246,FR0804LS
Ticket Revenue,Total Paid,16916,16842,0.995625443,FR0804LS
Ticket Revenue,Comp,1500,"1,575",1.05,FR0804LS
Ticket Revenue,Total Distributed,18416,18417,1.000054301,FR0804LS
Ticket Revenue,Drop Count,"15,224","16,344",1.07356805,FR0804LS
Ticket Revenue,Show Rate,0.83,0.89,1.073509758,FR0804LS
Ticket Revenue,ATP,106.17,102.01,0.960808316,FR0804LS
Ticket Revenue,Gross Ticket Revenue,"1,795,938",1718003.64,0.956605206,FR0804LS
Ticket Revenue,Amusement Taxes,-163267,-156182,0.956605206,FR0804LS
Ticket Revenue,Park District Fee,0,0,0,FR0804LS
Ticket Revenue,MLS Share of Revenue,0,0,0,FR0804LS
Ticket Revenue,Net Ticket Revenue,1632671,1561821,0.956605206,FR0804LS
Premium,Units Sold,282,83,0.294326241,FR0804LS
Premium,Average Per Unit,276,116,0.421539761,FR0804LS
Premium,Revenue Generated,"77,706",9641,0.124070213,FR0804LS
Premium,Less Projected Expenses,-45847,-5688.19,0.124070213,FR0804LS
Premium,Net Premium Revenue,31859,3953,0.124070213,FR0804LS
Gross Per Cap,Merchandise Revenue,60449,7955,0.131598538,FR0804LS
Gross Per Cap,Concessions Revenue,0,0,0,FR0804LS
Gross Per Cap,Parking Revenue,27189,133480,4.909338335,FR0804LS
Gross Per Cap,Total Gross Per Cap Revenue,87638,141435,1.613854721,FR0804LS
Gross Per Cap,Merchandise Per Cap,3.970638466,0.486722956,0.122580527,FR0804LS
Gross Per Cap,Concessions Per Cap,0,0,0,FR0804LS
Gross Per Cap,Parking Per Cap,1.78593011,8.166911405,4.572917696,FR0804LS
Gross Per Cap,Gross Per Cap,5.756568576,8.653634361,1.50326262,FR0804LS
Net Per Cap,Merchandise Revenue,34559,3535,0.102288839,FR0804LS
Net Per Cap,Concessions Revenue,0,0,0,FR0804LS
Net Per Cap,Parking Revenue,82364,107516,1.305376135,FR0804LS
Net Per Cap,Total Net Per Cap Revenue,116923,111051,0.949778914,FR0804LS
Net Per Cap,Merchandise Per Cap,2.270034157,0.216287323,0.095279325,FR0804LS
Net Per Cap,Concessions Per Cap,0,0,0,FR0804LS
Net Per Cap,Parking Per Cap,5.410141881,6.578316202,1.215923047,FR0804LS
Net Per Cap,Net Per Cap,7.680176038,6.794603524,0.884693722,FR0804LS
Total,Total Net Matchday Revenue,1781453,1676825,0.941268141,FR0804LS
Ticket Revenue,FSE,"5,325","5,633",1.057840376,FIR0820
Ticket Revenue,Group,"3,657","3,591",0.98195242,FIR0820
Ticket Revenue,Single,"1,294","5,417",4.186244204,FIR0820
Ticket Revenue,Total Paid,10276,14641,1.424776178,FIR0820
Ticket Revenue,Comp,3000,"1,877",0.625666667,FIR0820
Ticket Revenue,Total Distributed,13276,16518,1.24420006,FIR0820
Ticket Revenue,Drop Count,"9,248","12,001",1.29762986,FIR0820
Ticket Revenue,Show Rate,0.70,0.73,1.042943094,FIR0820
Ticket Revenue,ATP,31.40,29.15,0.928136884,FIR0820
Ticket Revenue,Gross Ticket Revenue,"322,688",426718.52,1.322387321,FIR0820
Ticket Revenue,Amusement Taxes,-34574,-45720,1.322387321,FIR0820
Ticket Revenue,Park District Fee,-18497,-24002,1.29762986,FIR0820
Ticket Revenue,MLS Share of Revenue,-26962,-35700,1.324085779,FIR0820
Ticket Revenue,Net Ticket Revenue,242656,321297,1.324085779,FIR0820
Premium,Units Sold,282,240,0.85106383,FIR0820
Premium,Average Per Unit,276,272,0.986485278,FIR0820
Premium,Revenue Generated,"77,706",65239,0.839561939,FIR0820
Premium,Less Projected Expenses,-45847,-38491.01,0.839561939,FIR0820
Premium,Net Premium Revenue,31859,26748,0.839561939,FIR0820
Gross Per Cap,Merchandise Revenue,43928,58452,1.33063513,FIR0820
Gross Per Cap,Concessions Revenue,233519,265449,1.136732526,FIR0820
Gross Per Cap,Parking Revenue,102190,138462,1.354941364,FIR0820
Gross Per Cap,Total Gross Per Cap Revenue,379638,462363,1.217906237,FIR0820
Gross Per Cap,Merchandise Per Cap,4.749794559,4.870605783,1.025435042,FIR0820
Gross Per Cap,Concessions Per Cap,25.2496988,22.11890676,0.876006757,FIR0820
Gross Per Cap,Parking Per Cap,11.04952208,11.53753854,1.044166296,FIR0820
Gross Per Cap,Gross Per Cap,41.04901544,38.52705108,0.938562123,FIR0820
Net Per Cap,Merchandise Revenue,12583,20973,1.666753225,FIR0820
Net Per Cap,Concessions Revenue,43281,57626,1.331460181,FIR0820
Net Per Cap,Parking Revenue,45791,60060,1.311614447,FIR0820
Net Per Cap,Total Net Per Cap Revenue,101655,138660,1.364024658,FIR0820
Net Per Cap,Merchandise Per Cap,1.360589776,1.747622698,1.284459672,FIR0820
Net Per Cap,Concessions Per Cap,4.679797587,4.801803914,1.026070856,FIR0820
Net Per Cap,Parking Per Cap,4.951215259,5.004574619,1.010777023,FIR0820
Net Per Cap,Net Per Cap,10.99160262,11.55400123,1.051166206,FIR0820
Total,Total Net Matchday Revenue,376170,486705,1.293842289,FIR0820
Ticket Revenue,FSE,"4,710","4,390",0.932059448,FIR0830
Ticket Revenue,Group,"1,083","1,725",1.592797784,FIR0830
Ticket Revenue,Single,"1,199",785,0.65471226,FIR0830
Ticket Revenue,Total Paid,6992,"6,900",0.986842105,FIR0830
Ticket Revenue,Comp,3000,"1,487",0.495666667,FIR0830
Ticket Revenue,Total Distributed,9992,8387,0.839371497,FIR0830
Ticket Revenue,Drop Count,"6,293","5,241",0.832856598,FIR0830
Ticket Revenue,Show Rate,0.63,0.62,0.99223836,FIR0830
Ticket Revenue,ATP,33.55,30.45,0.907575536,FIR0830
Ticket Revenue,Gross Ticket Revenue,"234,579",210096.87,0.895633752,FIR0830
Ticket Revenue,Amusement Taxes,-25133,-22510,0.895633752,FIR0830
Ticket Revenue,Park District Fee,-12586,-10482,0.832856598,FIR0830
Ticket Revenue,MLS Share of Revenue,-19686,-17710,0.899647206,FIR0830
Ticket Revenue,Net Ticket Revenue,177174,159394,0.899647206,FIR0830
Premium,Units Sold,282,442,1.567375887,FIR0830
Premium,Average Per Unit,276,200,0.725792152,FIR0830
Premium,Revenue Generated,"77,706",88397.5,1.137589118,FIR0830
Premium,Less Projected Expenses,-45847,-52154.525,1.137589118,FIR0830
Premium,Net Premium Revenue,31859,36243,1.137589118,FIR0830
Gross Per Cap,Merchandise Revenue,29892,20682,0.691903953,FIR0830
Gross Per Cap,Concessions Revenue,158903,154435,0.971882217,FIR0830
Gross Per Cap,Parking Revenue,72747,46262,0.635930004,FIR0830
Gross Per Cap,Total Gross Per Cap Revenue,261542,221379,0.846439316,FIR0830
Gross Per Cap,Merchandise Per Cap,4.750150966,3.946235451,0.830760007,FIR0830
Gross Per Cap,Concessions Per Cap,25.25155734,29.46670483,1.166926239,FIR0830
Gross Per Cap,Parking Per Cap,11.56035469,8.826941423,0.76355282,FIR0830
Gross Per Cap,Gross Per Cap,41.56206299,42.2398817,1.016308592,FIR0830
Net Per Cap,Merchandise Revenue,10304,7347,0.712990839,FIR0830
Net Per Cap,Concessions Revenue,29451,29618,1.005670436,FIR0830
Net Per Cap,Parking Revenue,31128,16879,0.542244924,FIR0830
Net Per Cap,Total Net Per Cap Revenue,70883,53844,0.759612912,FIR0830
Net Per Cap,Merchandise Per Cap,1.637480035,1.401811868,0.856078754,FIR0830
Net Per Cap,Concessions Per Cap,4.680110603,5.651211601,1.20749531,FIR0830
Net Per Cap,Parking Per Cap,4.946605645,3.220568594,0.651066373,FIR0830
Net Per Cap,Net Per Cap,11.26419628,10.27359206,0.912057266,FIR0830
Total,Total Net Matchday Revenue,279917,249481,0.891268297,FIR0830
Ticket Revenue,FSE,"5,700","6,310",1.107017544,FIR0923
Ticket Revenue,Group,"3,514","6,258",1.780876494,FIR0923
Ticket Revenue,Single,"1,294","2,794",2.159196291,FIR0923
Ticket Revenue,Total Paid,10508,"15,362",1.461933765,FIR0923
Ticket Revenue,Comp,3000,"2,378",0.792666667,FIR0923
Ticket Revenue,Total Distributed,13508,17740,1.313295825,FIR0923
Ticket Revenue,Drop Count,"9,457","13,325",1.408979402,FIR0923
Ticket Revenue,Show Rate,0.70,0.75,1.072857596,FIR0923
Ticket Revenue,ATP,31.18,30.01,0.962607758,FIR0923
Ticket Revenue,Gross Ticket Revenue,"327,616",461043.77,1.407268784,FIR0923
Ticket Revenue,Amusement Taxes,-35102,-49398,1.407268784,FIR0923
Ticket Revenue,Park District Fee,-18914,-26650,1.408979402,FIR0923
Ticket Revenue,MLS Share of Revenue,-27360,-38500,1.407150526,FIR0923
Ticket Revenue,Net Ticket Revenue,246240,346497,1.407150526,FIR0923
Premium,Units Sold,282,378,1.340425532,FIR0923
Premium,Average Per Unit,276,220,0.796872236,FIR0923
Premium,Revenue Generated,"77,706",83001.5,1.068147891,FIR0923
Premium,Less Projected Expenses,-45847,-48970.885,1.068147891,FIR0923
Premium,Net Premium Revenue,31859,34031,1.068147891,FIR0923
Gross Per Cap,Merchandise Revenue,44921,70635,1.572435901,FIR0923
Gross Per Cap,Concessions Revenue,238797,289437,1.212062966,FIR0923
Gross Per Cap,Parking Revenue,104311,117400,1.125480534,FIR0923
Gross Per Cap,Total Gross Per Cap Revenue,388029,477472,1.23050676,FIR0923
Gross Per Cap,Merchandise Per Cap,4.749899547,5.300938086,1.116010567,FIR0923
Gross Per Cap,Concessions Per Cap,25.2502855,21.72135084,0.860241792,FIR0923
Gross Per Cap,Parking Per Cap,11.0297974,8.810506567,0.798791333,FIR0923
Gross Per Cap,Gross Per Cap,41.02998245,35.8327955,0.873331972,FIR0923
Net Per Cap,Merchandise Revenue,15491,24745,1.597402488,FIR0923
Net Per Cap,Concessions Revenue,44259,62359,1.40895637,FIR0923
Net Per Cap,Parking Revenue,46847,49526,1.057186159,FIR0923
Net Per Cap,Total Net Per Cap Revenue,106597,136630,1.281746155,FIR0923
Net Per Cap,Merchandise Per Cap,1.6379888,1.857037358,1.133730192,FIR0923
Net Per Cap,Concessions Per Cap,4.679926405,4.679849906,0.999983654,FIR0923
Net Per Cap,Parking Per Cap,4.953580341,3.716772983,0.750320521,FIR0923
Net Per Cap,Net Per Cap,11.27149555,10.25366025,0.909698292,FIR0923
Total,Total Net Matchday Revenue,384696,517157,1.344326544,FIR0923
Ticket Revenue,FSE,"4,709","6,396",1.358250159,FIR1004
Ticket Revenue,Group,"1,369","9,065",6.621621622,FIR1004
Ticket Revenue,Single,"1,050","44,006",41.91047619,FIR1004
Ticket Revenue,Total Paid,7128,"59,467",8.342732884,FIR1004
Ticket Revenue,Comp,3000,"2,045",0.681666667,FIR1004
Ticket Revenue,Total Distributed,10128,61512,6.073459716,FIR1004
Ticket Revenue,Drop Count,"6,415","49,640",7.737872553,FIR1004
Ticket Revenue,Show Rate,0.63,0.81,1.274046905,FIR1004
Ticket Revenue,ATP,32.91,150.68,4.578247383,FIR1004
Ticket Revenue,Gross Ticket Revenue,"234,595",8960378.31,38.19509499,FIR1004
Ticket Revenue,Amusement Taxes,-25135,-960041,38.19509499,FIR1004
Ticket Revenue,Park District Fee,-12830,-99280,7.737872553,FIR1004
Ticket Revenue,MLS Share of Revenue,-19663,-790106,40.18247991,FIR1004
Ticket Revenue,Net Ticket Revenue,176966,7110952,40.18247991,FIR1004
Premium,Units Sold,282,862,3.056737589,FIR1004
Premium,Average Per Unit,276,564,2.046825266,FIR1004
Premium,Revenue Generated,"77,706",486175.96,6.256607727,FIR1004
Premium,Less Projected Expenses,-45847,-286843.8164,6.256607727,FIR1004
Premium,Net Premium Revenue,31859,199332,6.256607727,FIR1004
Gross Per Cap,Merchandise Revenue,246834,174453,0.706763155,FIR1004
Gross Per Cap,Concessions Revenue,1058527,1370526,1.294748207,FIR1004
Gross Per Cap,Parking Revenue,577851,217903,0.377092149,FIR1004
Gross Per Cap,Total Gross Per Cap Revenue,1883212,1762882,0.936104047,FIR1004
Gross Per Cap,Merchandise Per Cap,38.47639201,3.514363417,0.091338175,FIR1004
Gross Per Cap,Concessions Per Cap,165.0029695,27.60930701,0.167326122,FIR1004
Gross Per Cap,Parking Per Cap,90.07525876,4.389665592,0.048733311,FIR1004
Gross Per Cap,Gross Per Cap,293.5546203,35.51333602,0.120976928,FIR1004
Net Per Cap,Merchandise Revenue,84288,83760,0.993737345,FIR1004
Net Per Cap,Concessions Revenue,218099,259791,1.191159529,FIR1004
Net Per Cap,Parking Revenue,212444,129239,0.608343703,FIR1004
Net Per Cap,Total Net Per Cap Revenue,514831,472790,0.918339897,FIR1004
Net Per Cap,Merchandise Per Cap,13.13877444,1.687348912,0.128425137,FIR1004
Net Per Cap,Concessions Per Cap,33.99726431,5.233501209,0.153938892,FIR1004
Net Per Cap,Parking Per Cap,33.11573295,2.603525383,0.078618987,FIR1004
Net Per Cap,Net Per Cap,80.2517717,9.524375504,0.118681187,FIR1004
Total,Total Net Matchday Revenue,723657,7783074,10.75519619,FIR1004
Ticket Revenue,FSE,"5,700","6,970",1.222807018,FIR1007
Ticket Revenue,Group,"7,960","4,040",0.507537688,FIR1007
Ticket Revenue,Single,"1,888","2,733",1.447563559,FIR1007
Ticket Revenue,Total Paid,15548,"13,743",0.883907898,FIR1007
Ticket Revenue,Comp,3000,"1,802",0.600666667,FIR1007
Ticket Revenue,Total Distributed,18548,15545,0.838095752,FIR1007
Ticket Revenue,Drop Count,"13,993","11,588",0.828116514,FIR1007
Ticket Revenue,Show Rate,0.75,0.75,0.988092962,FIR1007
Ticket Revenue,ATP,30.69,30.73,1.001259154,FIR1007
Ticket Revenue,Gross Ticket Revenue,"477,138",422277.09,0.885020874,FIR1007
Ticket Revenue,Amusement Taxes,-51122,-45244,0.885020874,FIR1007
Ticket Revenue,Park District Fee,-27986,-23176,0.828116514,FIR1007
Ticket Revenue,MLS Share of Revenue,-39803,-35386,0.889021954,FIR1007
Ticket Revenue,Net Ticket Revenue,358227,318471,0.889021954,FIR1007
Premium,Units Sold,282,223,0.790780142,FIR1007
Premium,Average Per Unit,276,248,0.901049246,FIR1007
